Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHoldingCost,AccumulativeBackloggingCost
66,1865,12.1,1162,358.1,382,8.3,7.6,4.69E+04,1.30E+04,1.49E+04,542.9,1722
67,1894,12.9,1198,363.5,393.4,7.65,10.5,4.81E+04,1.34E+04,1.53E+04,550.6,1732
68,1921,12.8,1205,368.7,395.6,7.2,11.2,4.93E+04,1.37E+04,1.57E+04,557.8,1743
69,1947,12.8,1218,374.2,399.9,6.9,11.8,5.05E+04,1.41E+04,1.61E+04,564.7,1755
70,1975,12.95,1243,379.5,407.3,4.8,16.3,5.17E+04,1.45E+04,1.65E+04,569.5,1771
71,2001,11.85,1255,384.7,411.3,2.9,17.9,5.30E+04,1.49E+04,1.69E+04,572.4,1789
72,2028,9.3,1264,389.6,416.2,3.5,11.6,5.42E+04,1.53E+04,1.73E+04,575.9,1801
73,2053,12.35,1277,394.5,419.2,5.55,13.6,5.55E+04,1.57E+04,1.77E+04,581.4,1814
74,2077,12.45,1291,399.5,423.9,5.8,13.3,5.68E+04,1.61E+04,1.81E+04,587.2,1828
75,2102,13.3,1306,404.5,429.1,7.6,11.4,5.81E+04,1.65E+04,1.86E+04,594.8,1839
76,2127,14.4,1323,409.3,434.6,9.15,10.5,5.94E+04,1.69E+04,1.90E+04,604,1850
77,2150,11.25,1328,414.5,438.1,8.4,5.7,6.08E+04,1.73E+04,1.94E+04,612.4,1855
78,2177,11.95,1353,419.4,445.8,8.65,6.6,6.21E+04,1.77E+04,1.99E+04,621,1862
79,2201,10.95,1360,424.5,448.7,7.85,6.2,6.35E+04,1.81E+04,2.03E+04,628.9,1868
80,2227,10.85,1380,428.9,455.4,7.9,5.9,6.49E+04,1.86E+04,2.08E+04,636.8,1874
81,2249,12.65,1383,434.1,455.5,9.05,7.2,6.63E+04,1.90E+04,2.12E+04,645.8,1881
82,2275,10.7,1407,438.5,464.6,7.85,5.7,6.77E+04,1.94E+04,2.17E+04,653.6,1887
83,2297,13.1,1412,443.3,465.3,10.3,5.6,6.91E+04,1.99E+04,2.22E+04,664,1893
84,2320,12.55,1430,448.6,471.8,10.1,4.9,7.05E+04,2.03E+04,2.26E+04,674,1897
85,2347,16,1460,453.9,480.2,12.55,6.9,7.20E+04,2.08E+04,2.31E+04,686.6,1904
86,2373,16.25,1480,459.2,486,10.8,10.9,7.34E+04,2.12E+04,2.36E+04,697.4,1915
