DemandMY,CostMY,OrderingMY,NetInventoryMY,AccumulativeCostMY,DemandDB,CostDB,OrderingDB,NetInventoryDB,AccumulativeCostDB
0,2.087,4.62E-16,2.087,169.7,0,0.3409,7.45E-09,0.3409,36.15
0,2.087,4.62E-16,2.087,171.8,0,0.3409,7.45E-09,0.3409,36.49
0,2.087,4.62E-16,2.087,173.9,0,0.3409,1.49E-08,0.3409,36.83
0,2.087,4.62E-16,2.087,176,0,0.3409,1.49E-08,0.3409,37.17
0,2.087,4.62E-16,2.087,178.1,0,0.3409,1.49E-08,0.3409,37.51
0,2.087,4.62E-16,2.087,180.2,0,0.3409,2.98E-08,0.3409,37.85
0,2.087,4.62E-16,2.087,182.3,0,0.3409,2.98E-08,0.3409,38.19
0,2.087,4.62E-16,2.087,184.3,0,0.3409,5.96E-08,0.3409,38.53
18.19,3.169,19.27,3.169,187.5,18.95,3.847,16.81,1.966,42.38
0,3.169,6.18E-16,3.169,190.7,0,0.08519,1.881,0.08519,42.46
0,3.169,6.18E-16,3.169,193.8,0,0.08519,1.23E-08,0.08519,42.55
0,3.169,6.18E-16,3.169,197,0,0.08519,5.59E-09,0.08519,42.64
0,3.169,6.18E-16,3.169,200.2,0,0.08519,4.10E-09,0.08519,42.72
0,3.169,6.18E-16,3.169,203.4,0,0.08519,3.73E-09,0.08519,42.81
0,3.169,6.18E-16,3.169,206.5,0,0.08519,3.73E-09,0.08519,42.89
0,3.169,6.18E-16,3.169,209.7,0,0.08519,7.45E-09,0.08519,42.98
0,3.169,6.18E-16,3.169,212.9,0,0.08519,7.45E-09,0.08519,43.06
0,3.169,6.18E-16,3.169,216,0,0.08519,7.45E-09,0.08519,43.15
0,3.169,6.18E-16,3.169,219.2,0,0.08519,7.45E-09,0.08519,43.23
0,3.169,6.18E-16,3.169,222.4,0,0.08519,7.45E-09,0.08519,43.32
0,3.169,6.18E-16,3.169,225.5,0,0.08519,7.45E-09,0.08519,43.4
0,3.169,6.18E-16,3.169,228.7,0,0.08519,7.45E-09,0.08519,43.49
0,3.169,6.18E-16,3.169,231.9,0,0.08519,1.49E-08,0.08519,43.57
0,3.169,6.18E-16,3.169,235,0,0.08519,1.49E-08,0.08519,43.66
0,3.169,6.18E-16,3.169,238.2,0,0.08519,1.49E-08,0.08519,43.74
0,3.169,6.18E-16,3.169,241.4,0,0.08519,2.98E-08,0.08519,43.83
0,3.169,6.18E-16,3.169,244.6,0,0.08519,2.98E-08,0.08519,43.91
0,3.169,6.18E-16,3.169,247.7,0,0.08519,5.96E-08,0.08519,44
21.48,3.344,18.19,2.189,251.1,18.96,5.691,17.06,3.189,49.69
0,1.034,1.155,1.034,252.1,0,0.6873,2.502,0.6873,50.38
0,1.034,2.29E-16,1.034,253.1,0,0.6873,1.19E-08,0.6873,51.06
0,1.034,2.29E-16,1.034,254.2,0,0.6873,6.33E-09,0.6873,51.75
0,1.034,2.29E-16,1.034,255.2,0,0.6873,3.73E-09,0.6873,52.44
0,1.034,2.29E-16,1.034,256.2,0,0.6873,3.73E-09,0.6873,53.13
0,1.034,2.29E-16,1.034,257.3,0,0.6873,3.73E-09,0.6873,53.81
0,1.034,2.29E-16,1.034,258.3,0,0.6873,7.45E-09,0.6873,54.5
0,1.034,2.29E-16,1.034,259.3,0,0.6873,7.45E-09,0.6873,55.19
0,1.034,2.29E-16,1.034,260.4,0,0.6873,7.45E-09,0.6873,55.87
0,1.034,2.29E-16,1.034,261.4,0,0.6873,7.45E-09,0.6873,56.56
0,1.034,2.29E-16,1.034,262.4,0,0.6873,7.45E-09,0.6873,57.25
0,1.034,2.29E-16,1.034,263.5,0,0.6873,7.45E-09,0.6873,57.94
0,1.034,2.29E-16,1.034,264.5,0,0.6873,7.45E-09,0.6873,58.62
0,1.034,2.29E-16,1.034,265.5,0,0.6873,1.49E-08,0.6873,59.31
0,1.034,2.29E-16,1.034,266.6,0,0.6873,1.49E-08,0.6873,60
0,1.034,2.29E-16,1.034,267.6,0,0.6873,1.49E-08,0.6873,60.69
0,1.034,2.29E-16,1.034,268.6,0,0.6873,2.98E-08,0.6873,61.37
0,1.034,2.29E-16,1.034,269.7,0,0.6873,2.98E-08,0.6873,62.06
0,1.034,2.29E-16,1.034,270.7,0,0.6873,5.96E-08,0.6873,62.75
19.98,3.813,20.33,3.002,274.5,21.05,7.808,16.46,3.904,70.55
0,2.191,0.8114,2.191,276.7,0,4.90E-08,3.904,2.45E-08,70.55
0,2.191,1.09E-06,2.191,278.9,0,7.38E-09,2.31E-08,4.45E-09,70.55
0,2.191,4.47E-16,2.191,281.1,0,4.93E-09,6.33E-09,4.93E-09,70.55
0,2.191,4.47E-16,2.191,283.3,0,8.65E-09,3.73E-09,8.65E-09,70.55
0,2.191,4.47E-16,2.191,285.5,0,1.24E-08,3.73E-09,1.24E-08,70.55
0,2.191,4.47E-16,2.191,287.7,0,1.61E-08,3.73E-09,1.61E-08,70.55
0,2.191,4.47E-16,2.191,289.9,0,2.36E-08,7.45E-09,2.36E-08,70.55
0,2.191,4.47E-16,2.191,292,0,3.10E-08,7.45E-09,3.10E-08,70.55
0,2.191,4.47E-16,2.191,294.2,0,3.85E-08,7.45E-09,3.85E-08,70.55
0,2.191,4.47E-16,2.191,296.4,0,4.59E-08,7.45E-09,4.59E-08,70.55
0,2.191,4.47E-16,2.191,298.6,0,5.34E-08,7.45E-09,5.34E-08,70.55
0,2.191,4.47E-16,2.191,300.8,0,6.08E-08,7.45E-09,6.08E-08,70.55
0,2.191,4.47E-16,2.191,303,0,6.83E-08,7.45E-09,6.83E-08,70.55
0,2.191,4.47E-16,2.191,305.2,0,8.32E-08,1.49E-08,8.32E-08,70.55
0,2.191,4.47E-16,2.191,307.4,0,9.81E-08,1.49E-08,9.81E-08,70.55
0,2.191,4.47E-16,2.191,309.6,0,1.13E-07,1.49E-08,1.13E-07,70.55
0,2.191,4.47E-16,2.191,311.8,0,1.43E-07,2.98E-08,1.43E-07,70.55
0,2.191,4.47E-16,2.191,314,0,1.73E-07,2.98E-08,1.73E-07,70.55
0,2.191,4.47E-16,2.191,316.1,0,2.32E-07,5.96E-08,2.32E-07,70.55
20.6,3.677,19.17,2.707,319.8,19.9,6.188,17.15,3.21,76.74
0,1.736,0.9703,1.736,321.6,0,0.2318,2.978,0.2318,76.97
0,1.736,1.29E-07,1.736,323.3,0,0.2318,1.53E-08,0.2318,77.21
0,1.736,2.62E-16,1.736,325,0,0.2318,7.45E-09,0.2318,77.44
0,1.736,2.62E-16,1.736,326.8,0,0.2318,4.47E-09,0.2318,77.67
0,1.736,2.62E-16,1.736,328.5,0,0.2318,3.73E-09,0.2318,77.9
0,1.736,2.62E-16,1.736,330.2,0,0.2318,3.73E-09,0.2318,78.13
0,1.736,2.62E-16,1.736,332,0,0.2318,7.45E-09,0.2318,78.37
0,1.736,2.62E-16,1.736,333.7,0,0.2318,7.45E-09,0.2318,78.6
0,1.736,2.62E-16,1.736,335.4,0,0.2318,7.45E-09,0.2318,78.83
0,1.736,2.62E-16,1.736,337.2,0,0.2318,7.45E-09,0.2318,79.06
0,1.736,2.62E-16,1.736,338.9,0,0.2318,7.45E-09,0.2318,79.29
0,1.736,2.62E-16,1.736,340.7,0,0.2318,7.45E-09,0.2318,79.52
0,1.736,2.62E-16,1.736,342.4,0,0.2318,7.45E-09,0.2318,79.76
0,1.736,2.62E-16,1.736,344.1,0,0.2318,1.49E-08,0.2318,79.99
0,1.736,2.62E-16,1.736,345.9,0,0.2318,1.49E-08,0.2318,80.22
0,1.736,2.62E-16,1.736,347.6,0,0.2318,1.49E-08,0.2318,80.45
0,1.736,2.62E-16,1.736,349.3,0,0.2318,2.98E-08,0.2318,80.68
0,1.736,2.62E-16,1.736,351.1,0,0.2318,2.98E-08,0.2318,80.91
0,1.736,2.62E-16,1.736,352.8,0,0.2318,5.96E-08,0.2318,81.15
19.89,4.928,19.63,3.778,357.7,19.88,6.504,16.92,3.424,87.65
0,2.627,1.151,2.627,360.4,0,0.3453,3.079,0.3453,88
0,2.627,7.71E-07,2.627,363,0,0.3453,1.23E-08,0.3453,88.34
0,2.627,5.09E-16,2.627,365.6,0,0.3453,4.10E-09,0.3453,88.69
0,2.627,5.09E-16,2.627,368.2,0,0.3453,3.73E-09,0.3453,89.03
0,2.627,5.09E-16,2.627,370.9,0,0.3453,3.73E-09,0.3453,89.38
0,2.627,5.09E-16,2.627,373.5,0,0.3453,3.73E-09,0.3453,89.72
0,2.627,5.09E-16,2.627,376.1,0,0.3453,7.45E-09,0.3453,90.07
0,2.627,5.09E-16,2.627,378.8,0,0.3453,7.45E-09,0.3453,90.41
0,2.627,5.09E-16,2.627,381.4,0,0.3453,7.45E-09,0.3453,90.76
0,2.627,5.09E-16,2.627,384,0,0.3453,7.45E-09,0.3453,91.1
0,2.627,5.09E-16,2.627,386.6,0,0.3453,7.45E-09,0.3453,91.45
0,2.627,5.09E-16,2.627,389.3,0,0.3453,7.45E-09,0.3453,91.79
0,2.627,5.09E-16,2.627,391.9,0,0.3453,7.45E-09,0.3453,92.14
0,2.627,5.09E-16,2.627,394.5,0,0.3453,1.49E-08,0.3453,92.48
0,2.627,5.09E-16,2.627,397.1,0,0.3453,1.49E-08,0.3453,92.83
0,2.627,5.09E-16,2.627,399.8,0,0.3453,1.49E-08,0.3453,93.18
0,2.627,5.09E-16,2.627,402.4,0,0.3453,2.98E-08,0.3453,93.52
0,2.627,5.09E-16,2.627,405,0,0.3453,2.98E-08,0.3453,93.87
0,2.627,5.09E-16,2.627,407.7,0,0.3453,5.96E-08,0.3453,94.21
17.87,3.783,18.74,3.687,411.4,19.85,6.109,16.8,3.173,100.3
0,3.592,0.09554,3.592,415,0,0.2363,2.937,0.2363,100.6
0,3.592,5.64E-08,3.592,418.6,0,0.2363,1.79E-08,0.2363,100.8
0,3.592,7.15E-16,3.592,422.2,0,0.2363,8.20E-09,0.2363,101
0,3.592,7.15E-16,3.592,425.8,0,0.2363,4.10E-09,0.2363,101.3
0,3.592,7.15E-16,3.592,429.4,0,0.2363,3.73E-09,0.2363,101.5
0,3.592,7.15E-16,3.592,433,0,0.2363,3.73E-09,0.2363,101.7
