Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,254.2,51.12,1018,51.12,305.3,0,102.2,1018,51.12,305.3,0,102.2
2,254.7,101.7,356.7,50.55,51.12,0,203.3,1375,101.7,356.4,0,305.6
3,254.4,152.6,456.8,50.9,50.55,0,305.1,1832,152.6,406.9,0,610.7
4,255.2,202.7,558.1,50.1,50.9,0,405.4,2390,202.7,457.8,0,1016
5,254.9,253.1,656.5,50.41,50.1,0,506.2,3046,253.1,508,0,1522
6,255.9,10.3,165.3,49.41,50.41,6.539,7.529,3211,302.5,558.4,6.539,1530
7,255.7,10.41,161.7,49.55,49.41,7.374,6.074,3373,352.1,607.8,13.91,1536
8,254.3,10.41,162.3,50.98,49.55,7.159,6.502,3535,403,657.3,21.07,1542
9,256.1,11.4,167.2,49.16,50.98,8.529,5.748,3703,452.2,708.3,29.6,1548
10,255.2,9.484,158.9,50.06,49.16,7.588,3.792,3861,502.3,757.5,37.19,1552
11,257.2,10.12,161.4,48.09,50.06,9.066,2.101,4023,550.3,807.5,46.26,1554
12,256.6,11.34,156.9,48.64,48.09,10.07,2.551,4180,599,855.6,56.32,1557
13,254.9,10.34,157.4,50.42,48.64,9.132,2.407,4337,649.4,904.3,65.46,1559
14,257.2,12.55,164.7,48.07,50.42,11.7,1.71,4502,697.5,954.7,77.15,1561
15,254.8,13.38,159.5,50.48,48.07,11.45,3.863,4661,747.9,1003,88.61,1565
16,255,12.88,166.1,50.24,50.48,11.11,3.542,4827,798.2,1053,99.72,1568
17,256.1,12.84,165.9,49.18,50.24,10.55,4.592,4993,847.4,1103,110.3,1573
18,255.2,12.96,163.5,50.05,49.18,9.898,6.114,5157,897.4,1153,120.2,1579
19,253.6,13.08,167,51.66,50.05,9.337,7.486,5324,949.1,1203,129.5,1586
20,255.4,12.41,171.7,49.85,51.66,8.112,8.6,5496,998.9,1254,137.6,1595
21,255.2,10.45,163.1,50.07,49.85,7.339,6.23,5659,1049,1304,145,1601
22,255.4,10.2,163.2,49.87,50.07,7.403,5.604,5822,1099,1354,152.4,1607
23,254.8,9.119,161.6,50.47,49.87,6.213,5.813,5983,1149,1404,158.6,1613
24,254.6,10.72,166.2,50.68,50.47,6.697,8.05,6150,1200,1455,165.3,1621
25,254.5,12.05,168.3,50.75,50.68,7.822,8.462,6318,1251,1505,173.1,1629
26,255.1,13.24,170.5,50.18,50.75,8.251,9.983,6488,1301,1556,181.3,1639
27,256,13.12,168.2,49.23,50.18,8.606,9.028,6657,1350,1606,189.9,1648
28,255.8,12.45,164.1,49.46,49.23,8.476,7.948,6821,1400,1655,198.4,1656
29,255.3,13.26,165.8,50,49.46,9.116,8.285,6987,1450,1705,207.5,1664
30,255.1,11.98,165.3,50.22,50,8.709,6.551,7152,1500,1755,216.2,1671
31,255.3,9.622,162,49.98,50.22,7.91,3.423,7314,1550,1805,224.2,1674
32,254.5,9.579,161.5,50.74,49.98,7.612,3.934,7475,1601,1855,231.8,1678
33,254.6,9.561,164.5,50.71,50.74,6.863,5.396,7640,1651,1906,238.6,1684
34,254.2,7.495,162.1,51.04,50.71,5.039,4.912,7802,1702,1957,243.7,1688
35,254.8,7.685,163.6,50.44,51.04,4.913,5.544,7965,1753,2008,248.6,1694
36,255.5,7.931,162,49.82,50.44,5.236,5.39,8127,1803,2058,253.8,1699
37,256.2,8.118,159.9,49.11,49.82,5.763,4.71,8287,1852,2108,259.6,1704
38,257,9.689,158.9,48.25,49.11,7.791,3.795,8446,1900,2157,267.4,1708
39,253.6,8.718,155.4,51.72,48.25,6.801,3.835,8602,1952,2205,274.2,1712
40,253.5,8.654,166.1,51.82,51.72,6.379,4.55,8768,2004,2257,280.5,1716
41,254.1,7.276,164.7,51.18,51.82,5.323,3.906,8932,2055,2309,285.9,1720
42,254.3,9.591,166.8,50.94,51.18,5.921,7.341,9099,2106,2360,291.8,1728
43,254.2,11.22,169.5,51.1,50.94,5.738,10.95,9269,2157,2411,297.5,1738
44,255,11.03,170.7,50.25,51.1,4.646,12.76,9439,2207,2462,302.2,1751
45,253.8,9.462,165.7,51.48,50.25,3.986,10.95,9605,2258,2512,306.2,1762
46,256.5,7.785,165.4,48.82,51.48,4.647,6.275,9770,2307,2564,310.8,1768
47,257.1,7.189,155,48.22,48.82,5.826,2.726,9925,2355,2613,316.6,1771
48,254.8,8.56,155.1,50.52,48.22,6.723,3.675,1.01E+04,2406,2661,323.4,1775
49,255,8.891,162,50.26,50.52,7.308,3.165,1.02E+04,2456,2711,330.7,1778
50,256.7,11.06,163.7,48.55,50.26,9.241,3.644,1.04E+04,2505,2762,339.9,1782
51,256.5,11.75,158.2,48.76,48.55,10.94,1.617,1.06E+04,2554,2810,350.9,1783
52,255.1,10.14,157.1,50.19,48.76,9.447,1.378,1.07E+04,2604,2859,360.3,1785
53,254.8,8.966,160.8,50.45,50.19,7.75,2.432,1.09E+04,2654,2909,368,1787
54,253.2,8.899,162.2,52.08,50.45,6.934,3.929,1.10E+04,2706,2960,375,1791
55,254.3,10.23,169.4,50.95,52.08,7.256,5.941,1.12E+04,2757,3012,382.2,1797
56,254.2,9.56,166.3,51.12,50.95,5.641,7.839,1.14E+04,2808,3063,387.9,1805
57,254.7,9.72,168,50.57,51.12,4.816,9.807,1.16E+04,2859,3114,392.7,1815
58,254.3,10.39,167.8,51.01,50.57,4.747,11.29,1.17E+04,2910,3164,397.4,1826
59,254.1,8.653,166.8,51.21,51.01,3.497,10.31,1.19E+04,2961,3215,400.9,1836
60,256,8.298,165.5,49.27,51.21,4.725,7.145,1.21E+04,3010,3266,405.7,1843
61,253.6,7.017,158.1,51.64,49.27,3.738,6.558,1.22E+04,3062,3316,409.4,1850
62,254.7,6.086,163.5,50.56,51.64,3.552,5.07,1.24E+04,3113,3367,413,1855
63,256.8,8.461,162.8,48.48,50.56,5.783,5.355,1.25E+04,3161,3418,418.7,1860
64,254.7,8.22,156,50.57,48.48,5.881,4.676,1.27E+04,3212,3466,424.6,1865
65,255.7,8.971,162.6,49.61,50.57,7.054,3.834,1.29E+04,3261,3517,431.7,1869
66,255.2,9.275,160.6,50.05,49.61,6.818,4.914,1.30E+04,3311,3567,438.5,1874
67,257.7,11.78,163.6,47.56,50.05,10.11,3.344,1.32E+04,3359,3617,448.6,1877
68,256.9,13.45,157.5,48.35,47.56,12.05,2.805,1.33E+04,3407,3664,460.7,1880
69,256.1,12.51,158.9,49.21,48.35,11.22,2.594,1.35E+04,3456,3713,471.9,1883
70,255.9,13.53,162.4,49.33,49.21,12.34,2.378,1.37E+04,3506,3762,484.2,1885
71,255.3,13.46,162.8,50.02,49.33,12.11,2.716,1.38E+04,3556,3811,496.3,1888
72,255.8,13.71,165,49.51,50.02,12.5,2.428,1.40E+04,3605,3861,508.8,1890
73,255.9,12.12,162,49.38,49.51,10.79,2.651,1.41E+04,3655,3911,519.6,1893
74,256.2,11.91,161.6,49.09,49.38,10.32,3.182,1.43E+04,3704,3960,529.9,1896
75,254.7,12.74,162.7,50.53,49.09,10.07,5.332,1.45E+04,3754,4009,540,1901
76,254.2,13.14,168.4,51.03,50.53,9.421,7.428,1.46E+04,3805,4060,549.4,1909
77,256.4,13.12,169.3,48.85,51.03,9.996,6.248,1.48E+04,3854,4111,559.4,1915
78,254,13.68,164.5,51.3,48.85,9.381,8.6,1.50E+04,3906,4160,568.8,1924
79,256.4,13.26,171,48.88,51.3,9.423,7.682,1.51E+04,3954,4211,578.2,1931
80,255.7,12.09,162.2,49.58,48.88,8.592,7.001,1.53E+04,4004,4260,586.8,1938
81,256.1,13.65,166,49.21,49.58,10.03,7.236,1.55E+04,4053,4309,596.8,1945
82,256.5,11.94,161.2,48.81,49.21,10.29,3.307,1.56E+04,4102,4358,607.1,1949
83,256.8,12.08,160,48.47,48.81,10.55,3.056,1.58E+04,4150,4407,617.7,1952
84,253.7,12.05,159.1,51.58,48.47,10.39,3.309,1.60E+04,4202,4456,628.1,1955
85,254.7,10.67,167.2,50.55,51.58,8.871,3.601,1.61E+04,4253,4507,637,1959
86,254.5,10.85,165,50.75,50.55,8.377,4.941,1.63E+04,4303,4558,645.3,1964
87,254.6,10.36,165.6,50.68,50.75,7.395,5.922,1.65E+04,4354,4609,652.7,1970
88,254.1,9.396,165.1,51.17,50.68,5.735,7.323,1.66E+04,4405,4659,658.5,1977
89,255,10.28,168.8,50.26,51.17,5.283,9.996,1.68E+04,4455,4710,663.7,1987
90,256.4,9.87,164.1,48.9,50.26,6.42,6.898,1.70E+04,4504,4761,670.2,1994
