Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,254.8,34.39,936.3,34.39,289.2,0,68.79,936.3,34.39,289.2,0,68.79
2,276.6,73.37,329.1,38.97,60.79,0,146.7,1265,73.37,350,0,215.5
3,299.1,117.3,433.9,43.94,66.42,0,234.6,1699,117.3,416.4,0,450.1
4,323.8,166.4,553.9,49.04,73.73,0,332.7,2253,166.4,490.1,0,782.8
5,349.6,220.2,679.4,53.82,79.67,0,440.4,2933,220.2,569.8,0,1223
6,373.5,12.49,261.1,58.64,82.5,11.42,2.146,3194,278.8,652.3,11.42,1225
7,397.1,10.36,274.6,63.95,87.55,8.774,3.17,3468,342.8,739.8,20.19,1229
8,423.6,9.521,299.5,69.28,95.79,6.926,5.191,3768,412,835.6,27.12,1234
9,449.6,7.461,313.6,75.26,101.3,5.133,4.657,4081,487.3,936.9,32.25,1238
10,480.7,9.452,346.2,80.03,111.1,5.953,6.998,4428,567.3,1048,38.2,1245
11,504,9.097,339.8,85.29,108.6,4.381,9.432,4767,652.6,1157,42.58,1255
12,531.2,11.74,369.4,89.65,116.9,4.654,14.17,5137,742.3,1274,47.24,1269
13,551.9,9.823,363,95.16,115.8,4.013,11.62,5500,837.4,1389,51.25,1281
14,579.7,10.49,400.8,100.4,128.2,4.791,11.39,5901,937.8,1518,56.04,1292
15,605.7,11.29,410,105.8,131.8,7.846,6.887,6311,1044,1649,63.89,1299
16,632.7,12.77,432.9,111.2,138.2,7.304,10.93,6743,1155,1787,71.19,1310
17,660,11.87,448,116.4,143.8,7.061,9.61,7191,1271,1931,78.25,1319
18,686.6,8.934,458.5,121.2,147.8,2.873,12.12,7650,1392,2079,81.13,1332
19,710.2,13.23,470.5,126.4,150,5.93,14.6,8120,1519,2229,87.06,1346
20,735.2,12.2,491.2,132.3,157.3,5.167,14.06,8612,1651,2386,92.22,1360
21,765.2,13.08,522.8,137.5,167.5,5.953,14.26,9134,1789,2554,98.18,1374
22,791.6,12.87,526.5,142.7,169,6.366,13,9661,1931,2723,104.5,1387
23,817.6,13.49,542,147.8,173.9,6.679,13.62,1.02E+04,2079,2897,111.2,1401
24,843.3,13.27,557.1,152.9,178.6,5.117,16.3,1.08E+04,2232,3075,116.3,1417
25,868.6,9.985,566.2,157.8,183.2,3.206,13.56,1.13E+04,2390,3259,119.5,1431
26,893.5,9.053,575.9,162.7,187.6,5.136,7.835,1.19E+04,2553,3446,124.7,1439
27,917.7,9.225,588.7,167.9,192,5.818,6.814,1.25E+04,2721,3638,130.5,1446
28,943.5,9.829,608.8,172.8,198.6,6.662,6.335,1.31E+04,2893,3837,137.2,1452
29,968.6,11.18,622.5,177.5,202.7,7.877,6.614,1.37E+04,3071,4040,145,1459
30,991.5,9.704,628.5,182.6,205.5,7.398,4.612,1.44E+04,3254,4245,152.4,1463
31,1017,11.47,655.3,188.3,213.4,7.944,7.046,1.50E+04,3442,4458,160.4,1470
32,1045,12.06,683.8,194,222.3,7.237,9.638,1.57E+04,3636,4681,167.6,1480
33,1075,13.85,704.7,198.8,228.4,8.042,11.62,1.64E+04,3835,4909,175.7,1491
34,1098,11.89,699.6,204.3,227.4,6.252,11.28,1.71E+04,4039,5136,181.9,1503
35,1126,11.83,731.1,209.1,237.3,4.433,14.79,1.78E+04,4248,5374,186.3,1518
36,1149,9.148,729,214.3,237.8,2.655,12.99,1.86E+04,4462,5612,189,1530
37,1176,10.08,753,219.5,245.8,4.55,11.05,1.93E+04,4682,5857,193.5,1542
38,1202,12.36,767.7,224.1,250.3,7.799,9.122,2.01E+04,4906,6108,201.3,1551
39,1224,9.183,770.1,229.7,252.2,5.022,8.322,2.08E+04,5136,6360,206.4,1559
40,1253,10.24,803.6,234.4,263.4,7.014,6.452,2.17E+04,5370,6623,213.4,1565
41,1276,10.48,800.8,239.6,262,6.222,8.51,2.25E+04,5610,6885,219.6,1574
42,1302,10.59,827.5,244.4,271.1,6.99,7.202,2.33E+04,5854,7156,226.6,1581
43,1326,13.7,837.8,249.5,273.1,8.936,9.535,2.41E+04,6103,7429,235.5,1591
44,1351,12.62,858.1,254.6,280,7.232,10.78,2.50E+04,6358,7710,242.8,1601
45,1377,12.96,871.9,259.4,285.1,9.367,7.186,2.58E+04,6617,7995,252.1,1609
46,1401,13.25,884.4,264.8,288.7,8.124,10.26,2.67E+04,6882,8283,260.3,1619
47,1429,12.96,908,269.2,297,8.921,8.085,2.76E+04,7151,8580,269.2,1627
48,1450,12.7,904.2,274.3,295.7,8.18,9.031,2.85E+04,7426,8876,277.4,1636
49,1476,11.4,930.2,279.6,305.1,7.758,7.292,2.95E+04,7705,9181,285.1,1643
