Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,256.2,35.25,945,35.25,291.5,0,70.51,945,35.25,291.5,0,70.51
2,283.1,75.16,350.6,39.91,66.78,0,150.3,1296,75.16,358.3,0,220.8
3,269.1,117.4,319.4,42.24,28.21,0,234.8,1615,117.4,386.5,0,455.6
4,263.9,161.4,439,43.95,38.77,0,322.7,2054,161.4,425.3,0,778.3
5,275.3,208.7,593.7,47.36,58.74,0,417.4,2648,208.7,484,0,1196
6,289.1,33.42,222.9,49.37,63.16,33.42,0,2871,258.1,547.2,33.42,1196
7,300.8,47.98,239.8,52.22,63.95,47.98,0,3110,310.3,611.1,81.39,1196
8,314.2,21.42,226,54.77,68.2,21.42,0,3336,365.1,679.3,102.8,1196
9,326.8,7.313,219.8,57.48,70.07,5.011,4.604,3556,422.5,749.4,107.8,1200
10,340.7,5.988,228.9,59.77,73.59,3.837,4.302,3785,482.3,823,111.7,1205
11,352.7,7.6,234.2,62.64,74.65,4.899,5.402,4019,545,897.6,116.6,1210
12,366.8,7.096,245.3,64.39,78.52,4.426,5.339,4265,609.3,976.1,121,1215
13,376.7,5.598,240.7,67.85,77.79,3.854,3.489,4506,677.2,1054,124.8,1219
14,391.4,7.868,264,69.81,84.45,5.117,5.502,4769,747,1138,130,1224
15,403.7,6.595,261.2,72.1,84.41,5.227,2.735,5031,819.1,1223,135.2,1227
16,415.2,7.423,268.7,74.96,86.46,5.484,3.877,5299,894.1,1309,140.7,1231
17,428,6.769,277.6,77.16,89.95,5.838,1.863,5577,971.2,1399,146.5,1233
18,440.1,5.83,282.6,79.64,91.79,4.442,2.775,5860,1051,1491,151,1236
19,451.8,7.972,292.7,82.76,94.39,6.359,3.224,6152,1134,1585,157.3,1239
20,465.6,6.574,305.3,85.25,99.13,5.241,2.667,6458,1219,1685,162.6,1242
21,479.4,6.69,313.2,87.72,101.5,4.667,4.046,6771,1307,1786,167.2,1246
22,492.3,6.913,319.2,90.38,103.3,4.562,4.701,7090,1397,1889,171.8,1250
23,505.5,8.256,329,92.57,105.8,4.845,6.823,7419,1490,1995,176.6,1257
24,517.4,7.211,331.4,95.1,107,3.967,6.489,7750,1585,2102,180.6,1264
25,529.5,6.882,338.3,97.57,109.7,4.584,4.596,8089,1682,2212,185.2,1268
26,542.2,6.85,344.8,99.6,112.2,5.514,2.673,8434,1782,2324,190.7,1271
27,553.2,7.887,348.8,102.2,113.2,6.585,2.605,8782,1884,2437,197.3,1273
28,564.7,7.543,357.8,105,116.5,6.812,1.462,9140,1989,2554,204.1,1275
29,577.7,7.489,369.8,107.5,120.4,6.545,1.888,9510,2096,2674,210.6,1277
30,590.6,8.288,379.2,110.2,123.1,6.712,3.151,9889,2207,2797,217.3,1280
31,603.8,7.88,387.8,112.9,126.1,6.16,3.44,1.03E+04,2320,2923,223.5,1283
32,617.6,8.316,398.1,115.1,129,5.414,5.805,1.07E+04,2435,3052,228.9,1289
33,629.5,7.081,400.6,118.2,130.1,3.938,6.286,1.11E+04,2553,3182,232.9,1296
34,643.4,6.463,413,120.7,134.5,3.519,5.887,1.15E+04,2674,3317,236.4,1301
